,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
1292,2020,State,Government of Afghanistan,Taleban,1,"""Bakhtar News Agency,2020-01-02,Taliban Insurgents Killed in Kandahar Strike""",Bakhtar News Agency,2020-01-02,Hutal (Maywand) town,31.6173,65.0599,Afghanistan,Asia,2020-01-01,2020-01-02,0,6,0,0,6,6,6,1
1949,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-01,11 killed, 16 wounded in Faryab clashes""",Pajhwok News,2020-01-01,Hazara Qeshlaq village,35.836,64.5345,Afghanistan,Asia,2020-01-01,2020-01-01,0,0,1,0,1,1,1,2
1950,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-02,22 Taliban killed, 24 injured in strikes, clashes""",Pajhwok News,2020-01-02,Sozma Qala district,36.025788,66.234442,Afghanistan,Asia,2020-01-01,2020-01-01,0,5,0,0,5,5,5,0
1951,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-02,22 Taliban killed, 24 injured in strikes, clashes""",Pajhwok News,2020-01-02,Almar district,35.956633,64.295198,Afghanistan,Asia,2020-01-01,2020-01-02,0,2,0,0,2,1,2,2
1952,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-04,Man killed along with daughter in Nimroz blast""",Pajhwok News,2020-01-04,Khash village,31.5296,62.7884,Afghanistan,Asia,2020-01-03,2020-01-03,0,0,2,0,2,2,2,1
3392,2020,State,Government of Afghanistan,Taleban,2,"""Khaama Press,2020-11-01,Taliban Suffer Heavy Casualties in Kandahar, 101 Militants Killed"";""Khaama Press,2020-11-02,81 Taliban Killed in Kandahar Province: MoD""",Khaama Press;Khaama Press,2020-11-01;2020-11-02,Nagahan village,31.6431,65.5821,Afghanistan,Asia,2020-10-31,2020-11-01,0,40,0,0,40,41,32,1
3878,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-13,Freed from Taliban, 3 civilians killed in Baghlan blast""",Pajhwok News,2020-01-13,Baghlan province,35.75,69.0,Afghanistan,Asia,2020-01-12,2020-01-12,0,0,3,0,3,3,3,0
3880,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-18,Separate clashes leave 9 dead in Nangarhar""",Pajhwok News,2020-01-18,Hazarnaw village,34.234188,70.912064,Afghanistan,Asia,2020-01-17,2020-01-17,3,1,0,0,4,4,4,3
3881,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-23,Helmand intelligence official gunned down""",Pajhwok News,2020-01-23,Lashkar Gah town,31.579996,64.377396,Afghanistan,Asia,2020-01-22,2020-01-22,1,0,0,0,1,1,1,1
3883,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-25,1 person killed, 4 injured in Kabul blast""",Pajhwok News,2020-01-25,Kabul city,34.531094,69.162796,Afghanistan,Asia,2020-01-25,2020-01-25,0,0,0,1,1,1,1,3
3885,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-27,Policemen among 3 killed in accident, blasts""",Pajhwok News,2020-01-27,Shah Wali Kot district,32.080455,66.007358,Afghanistan,Asia,2020-01-27,2020-01-27,1,0,0,0,1,1,1,1
3886,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-27,Policemen among 3 killed in accident, blasts""",Pajhwok News,2020-01-27,Maywand district,31.5819,64.99308,Afghanistan,Asia,2020-01-27,2020-01-27,1,0,0,0,1,1,1,1
3890,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-01-30,Taliban commander for Siori district killed: MoD""",Pajhwok News,2020-01-30,Shinkay district,31.918721,67.151789,Afghanistan,Asia,2020-01-30,2020-01-30,0,2,2,3,7,11,6,1
3891,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-02-02,Bomber killed, 2 civilians injured in Baghlan""",Pajhwok News,2020-02-02,Husayn Khel village,36.02401,68.678436,Afghanistan,Asia,2020-02-02,2020-02-02,0,1,0,0,1,3,1,0
3892,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-02-04,Policewoman gunned down in Kandahar""",Pajhwok News,2020-02-04,Kandahar town,31.611795,65.705795,Afghanistan,Asia,2020-02-04,2020-02-04,1,0,0,0,1,1,1,1
3893,2020,State,Government of Afghanistan,Taleban,2,"""BBC Monitoring South Asia,2020-02-05,At least 22 Taliban militants killed in east Afghanistan"";""Pajhwok News,2020-02-05,Commanders among 22 Taliban killed in Nangarhar""",BBC Monitoring South Asia;Pajhwok News,2020-02-05;2020-02-05,Sherzad district,34.194185,69.980133,Afghanistan,Asia,2020-02-03,2020-02-05,0,6,0,0,6,6,6,3
3894,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-02-05,2 police killed, 5 wounded in Helmand blast""",Pajhwok News,2020-02-05,Nahri Sarraj district (Greshk),31.829363,64.608526,Afghanistan,Asia,2020-02-05,2020-02-05,2,0,0,0,2,2,2,1
3895,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-02-06,Faryab: 3 uprising members killed in Taliban ambush""",Pajhwok News,2020-02-06,Arzalik village,35.7028,64.4013,Afghanistan,Asia,2020-02-05,2020-02-05,3,0,0,0,3,3,3,2
3896,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-02-08,1 policeman killed, 2 wounded in Khost bombing""",Pajhwok News,2020-02-08,Khost town,33.335091,69.918411,Afghanistan,Asia,2020-02-08,2020-02-08,1,0,0,0,1,1,1,3
3957,2020,State,Government of Afghanistan,IS,1,"""Pajhwok News,2020-02-17,Nearly dozen Taliban suffer casualties in Laghman clash""",Pajhwok News,2020-02-17,Chawkay district,34.74075,70.863598,Afghanistan,Asia,2020-02-16,2020-02-17,0,1,0,0,1,1,1,3
3993,2020,State,Government of Afghanistan,IS,1,"""Pajhwok News,2020-02-21,Airstrikes kill 13 Daesh rebels in Kapisa, Kunar""",Pajhwok News,2020-02-21,Chawkay district,34.74075,70.863598,Afghanistan,Asia,2020-02-20,2020-02-20,0,7,0,0,7,7,7,3
3994,2020,State,Government of Afghanistan,IS,1,"""Pajhwok News,2020-02-21,Airstrikes kill 13 Daesh rebels in Kapisa, Kunar""",Pajhwok News,2020-02-21,Nijrab district,35.042243,69.633367,Afghanistan,Asia,2020-02-20,2020-02-20,0,6,0,0,6,6,6,3
3995,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-02-21,2 women among 14 Taliban killed in Kapisa""",Pajhwok News,2020-02-21,Ghachahlan village,35.11909,69.61989,Afghanistan,Asia,2020-02-20,2020-02-20,0,12,0,2,14,14,14,3
3996,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-02-27,2 Taliban fighters killed in Ghazni clash""",Pajhwok News,2020-02-27,Muqur district (Ghazni),32.945127,67.783463,Afghanistan,Asia,2020-02-26,2020-02-26,0,2,0,0,2,2,2,3
3997,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-02-29,2 children killed in Uruzghan blast""",Pajhwok News,2020-02-29,Khanaqa village,32.6453,65.9385,Afghanistan,Asia,2020-02-28,2020-02-28,0,0,2,0,2,2,2,1
3998,2020,State,Government of Afghanistan,Taleban,1,"""Pajhwok News,2020-02-29,4 police killed in Kandahar landmine blast""",Pajhwok News,2020-02-29,Miya Nishin district,32.378207,66.335951,Afghanistan,Asia,2020-02-29,2020-02-29,4,0,0,0,4,4,4,1
4093,2020,State,Government of Afghanistan,Taleban,1,"""Khaama Press,2020-02-20,Airstrikes kill 5 Taliban and ISIS-K militants in 3 provinces""",Khaama Press,2020-02-20,Nahri Sarraj district (Greshk),31.829363,64.608526,Afghanistan,Asia,2020-02-19,2020-02-19,0,3,0,0,3,3,3,1
