,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction
0,NoInformation,0.0,0.0,2018-01-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
1,NonStateArmedGroups,0.0,0.0,2018-01-02 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,5.0,0.0,0.0
2,StateActor,0.0,1.0,2018-01-06 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
3,NoInformation,0.0,0.0,2018-01-06 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
4,NoInformation,0.0,1.0,2018-01-15 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
5,NoInformation,0.0,0.0,2018-01-19 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
6,NoInformation,0.0,0.0,2018-01-20 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,1.0,0.0
7,NonStateArmedGroups,0.0,0.0,2018-01-27 00:00:00,0.0,Afghanistan,0.0,1.0,0.0,0.0,0.0,0.0
8,NoInformation,0.0,1.0,2018-01-28 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
9,UnspecNonMilArmed,0.0,0.0,2018-03-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
10,NoInformation,0.0,0.0,2018-03-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
11,NoInformation,0.0,0.0,2018-03-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
12,NoInformation,0.0,0.0,2018-03-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
13,NoInformation,0.0,0.0,2018-03-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
14,NoInformation,0.0,0.0,2018-03-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
15,NoInformation,0.0,0.0,2018-03-05 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
16,NonStateArmedGroups,0.0,0.0,2018-03-11 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,3.0,0.0,0.0
17,NoInformation,0.0,1.0,2018-03-12 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
18,NoInformation,0.0,0.0,2018-03-15 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
19,NoInformation,0.0,2.0,2018-03-19 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
20,NonStateArmedGroups,0.0,0.0,2018-03-21 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
21,NoInformation,0.0,0.0,2018-03-26 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
22,NonStateArmedGroups,1.0,1.0,2018-03-31 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
23,NoInformation,0.0,0.0,2018-04-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
24,NoInformation,0.0,0.0,2018-04-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
25,NoInformation,0.0,0.0,2018-04-04 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
26,NoInformation,0.0,0.0,2018-04-04 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
