,Perpetrator ,Total health worker injured,Attack date,Health transportation stolen/highjacked,Health transportation damaged,Total number of attacks on facilities which reported destruction,Total health worker kidnapped,Health transportation destroyed,Total health worker arrested ,Total number of attacks on facilities which reported damage,Total health worker killed,Country
0,NoInformation,0.0,2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
1,NonStateArmedGroups,0.0,2018-01-02 00:00:00,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Afghanistan
2,StateActor,0.0,2018-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
3,NoInformation,0.0,2018-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
4,NoInformation,0.0,2018-01-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
5,NoInformation,0.0,2018-01-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
6,NoInformation,1.0,2018-01-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
7,NonStateArmedGroups,0.0,2018-01-27 00:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
8,NoInformation,0.0,2018-01-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
9,UnspecNonMilArmed,0.0,2018-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
10,NoInformation,0.0,2018-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
11,NoInformation,0.0,2018-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
12,NoInformation,0.0,2018-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
13,NoInformation,0.0,2018-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
14,NoInformation,0.0,2018-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
15,NoInformation,0.0,2018-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
16,NonStateArmedGroups,0.0,2018-03-11 00:00:00,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Afghanistan
17,NoInformation,0.0,2018-03-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
18,NoInformation,0.0,2018-03-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
19,NoInformation,0.0,2018-03-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Afghanistan
20,NonStateArmedGroups,0.0,2018-03-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
21,NoInformation,0.0,2018-03-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
22,NonStateArmedGroups,0.0,2018-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Afghanistan
23,NoInformation,0.0,2018-04-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
24,NoInformation,0.0,2018-04-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
25,NoInformation,0.0,2018-04-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
26,NoInformation,0.0,2018-04-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
27,NoInformation,0.0,2018-04-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
28,NoInformation,0.0,2018-04-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
29,NoInformation,0.0,2018-04-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
30,NoInformation,0.0,2018-04-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
31,NoInformation,0.0,2018-04-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
32,NoInformation,0.0,2018-04-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
33,NoInformation,5.0,2018-04-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
34,NoInformation,0.0,2018-05-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
35,NoInformation,5.0,2018-05-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
36,NoInformation,1.0,2018-05-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
37,NoInformation,0.0,2018-05-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
38,NonStateArmedGroups,0.0,2018-05-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
39,NoInformation,0.0,2018-05-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
40,NoInformation,0.0,2018-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan
41,NoInformation,0.0,2018-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
42,NoInformation,0.0,2018-05-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
43,NoInformation,0.0,2018-05-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
44,NoInformation,0.0,2018-06-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
45,NoInformation,0.0,2018-06-10 00:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
46,NonStateArmedGroups,0.0,2018-06-14 00:00:00,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,Afghanistan
47,NonStateArmedGroups,1.0,2018-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Afghanistan
48,NoInformation,0.0,2018-06-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
49,StateActor,0.0,2018-07-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan
50,NoInformation,0.0,2018-07-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
51,NonStateArmedGroups,0.0,2018-07-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
52,NoInformation,0.0,2018-07-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
53,NoInformation,0.0,2018-07-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
54,NoInformation,0.0,2018-07-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
55,NonStateArmedGroups,0.0,2018-07-19 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Afghanistan
56,NoInformation,0.0,2018-07-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
57,NoInformation,0.0,2018-07-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
58,NoInformation,0.0,2018-07-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
59,NoInformation,1.0,2018-07-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
60,NoInformation,0.0,2018-07-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
61,UnspecNonMilArmed,0.0,2018-07-24 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Afghanistan
62,UnspecNonMilArmed,0.0,2018-07-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan
63,NoInformation,0.0,2018-07-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
64,NoInformation,9.0,2018-07-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Afghanistan
65,NoInformation,0.0,2018-07-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
66,NoInformation,0.0,2018-07-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
67,NoInformation,0.0,2018-08-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
68,NoInformation,0.0,2018-08-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
69,UnspecNonMilArmed,0.0,2018-08-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan
70,NoInformation,0.0,2018-08-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
71,NoInformation,0.0,2018-08-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
72,NoInformation,0.0,2018-08-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
73,NoInformation,0.0,2018-08-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
74,NoInformation,0.0,2018-08-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
75,NoInformation,0.0,2018-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
76,NoInformation,0.0,2018-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
77,NoInformation,0.0,2018-09-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
78,StateActor,0.0,2018-09-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
79,NoInformation,2.0,2018-09-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
80,NoInformation,0.0,2018-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan
81,NoInformation,0.0,2018-09-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
82,NoInformation,0.0,2018-09-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
83,NoInformation,0.0,2018-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
84,NoInformation,0.0,2018-10-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
85,NoInformation,0.0,2018-10-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
86,NoInformation,0.0,2018-10-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
87,NoInformation,0.0,2018-10-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
88,NoInformation,0.0,2018-10-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
89,NoInformation,0.0,2018-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Afghanistan
90,NoInformation,0.0,2018-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
91,NoInformation,0.0,2018-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
92,NoInformation,0.0,2018-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
93,NoInformation,0.0,2018-11-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
94,NoInformation,0.0,2018-12-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
95,NoInformation,0.0,2018-12-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
96,NoInformation,0.0,2018-12-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
97,NoInformation,0.0,2018-12-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan
98,NoInformation,0.0,2018-10-06 00:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Burkina Faso
99,NonStateArmedGroups,0.0,2018-10-23 00:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Burkina Faso
100,NonStateArmedGroups,0.0,2018-10-26 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burkina Faso
101,NonStateArmedGroups,0.0,2018-10-27 00:00:00,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Burkina Faso
102,StateActor,1.0,2018-02-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cameroon
103,StateActor,0.0,2018-06-06 00:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cameroon
104,StateActor,0.0,2018-06-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cameroon
105,NoInformation,0.0,2018-07-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cameroon
106,NoInformation,0.0,2018-08-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cameroon
107,StateActor,0.0,2018-08-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cameroon
108,StateActor,1.0,2018-08-06 00:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cameroon
109,StateActor,0.0,2018-08-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cameroon
110,NonStateArmedGroups,0.0,2018-08-11 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Cameroon
111,NoInformation,0.0,2018-08-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cameroon
112,StateActor,0.0,2018-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cameroon
113,NonStateArmedGroups,0.0,2018-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cameroon
114,NoInformation,0.0,2018-11-16 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Cameroon
115,StateActor,0.0,2018-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cameroon
116,NonStateArmedGroups,0.0,2018-01-18 00:00:00,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,DRC
117,NonStateArmedGroups,0.0,2018-01-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DRC
118,UnspecNonMilArmed,0.0,2018-02-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRC
119,NonStateArmedGroups,0.0,2018-02-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRC
120,UnspecNonMilArmed,0.0,2018-02-09 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DRC
121,UnspecNonMilArmed,0.0,2018-02-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRC
122,UnspecNonMilArmed,0.0,2018-02-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DRC
123,UnspecNonMilArmed,0.0,2018-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRC
124,UnspecNonMilArmed,0.0,2018-06-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DRC
125,NoInformation,0.0,2018-06-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRC
126,UnspecNonMilArmed,0.0,2018-07-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRC
127,NonStateArmedGroups,0.0,2018-08-19 00:00:00,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,DRC
128,UnspecNonMilArmed,0.0,2018-09-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRC
129,NonStateArmedGroups,0.0,2018-10-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,DRC
130,NonStateArmedGroups,0.0,2018-11-07 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DRC
131,UnspecNonMilArmed,0.0,2018-11-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DRC
