Year,actors,Year_bin
2014,Hamas,2010-2025
2014,Hamas,2010-2025
2014,Hamas,2010-2025
2014,Hamas,2010-2025
2014,Hamas,2010-2025
2014,Hamas,2010-2025
2014,Hamas,2010-2025
2014,Hamas,2010-2025
2014,Hamas,2010-2025
2014,Hamas,2010-2025
2014,PIJ,2010-2025
2014,PIJ,2010-2025
2014,PIJ,2010-2025
2014,PIJ,2010-2025
2014,PIJ, 2010-2025
2014,PIJ, 2010-2025
2018,Hamas,2010-2025
2018,Hamas,2010-2025
2018,Hamas,2010-2025
2018,PIJ,2010-2025
2018,PNA,2010-2025
2018,PNA,2010-2025
2018,AMB,2010-2025
2018,Fatah,2010-2025
2018,Fatah,2010-2025
