,Actors in Palestinian Conflict Since 1950s,count
0,Government of Egypt,1
1,Government of Iraq,1
2,Government of Jordan,1
3,Government of Lebanon,1
4,Government of Syria,1
5,Government of Egypt,1
6,Government of Iraq,1
7,Government of Jordan,1
8,Government of Lebanon,1
9,Government of Syria,1
10,Government of Israel,1
11,Government of Israel,1
12,Government of Israel,1
13,Government of Israel,1
14,Government of Israel,1
15,Government of Israel,1
16,Government of Israel,1
17,Government of Israel,1
18,Government of Israel,1
19,Government of Israel,1
20,Government of Israel,1
21,Government of Israel,1
22,Government of Israel,1
23,Government of Israel,1
24,Government of Israel,1
25,Government of Israel,1
26,Government of Israel,1
27,Government of Israel,1
28,Government of Israel,1
29,Government of Israel,1
30,Government of Israel,1
31,Government of Israel,1
32,Government of Israel,1
33,Government of Israel,1
34,Government of Israel,1
35,Government of Israel,1
36,Government of Israel,1
37,Government of Israel,1
38,Government of Israel,1
39,Government of Israel,1
40,Government of Israel,1
41,Government of Israel,1
42,Government of Israel,1
43,Government of Israel,1
44,Government of Israel,1
45,Government of Israel,1
46,Government of Israel,1
47,Government of Israel,1
48,Government of Israel,1
49,Government of Israel,1
50,Government of Israel,1
51,Government of Israel,1
52,Government of Israel,1
53,Government of Israel,1
54,Government of Israel,1
55,Government of Israel,1
56,Government of Israel,1
57,Government of Israel,1
58,Government of Israel,1
59,Government of Israel,1
60,Government of Israel,1
61,Government of Israel,1
62,Government of Israel,1
63,Government of Israel,1
64,Government of Israel,1
65,Government of Israel,1
66,Government of Israel,1
67,Government of Israel,1
68,Government of Israel,1
69,Government of Israel,1
70,Government of Israel,1
71,Government of Israel,1
72,Government of Israel,1
73,Government of Israel,1
74,Government of Israel,1
75,Government of Israel,1
76,Palestinian insurgents,1
77,Palestinian insurgents,1
78,Palestinian insurgents,1
79,Palestinian insurgents,1
80,Palestinian insurgents,1
81,Palestinian insurgents,1
82,Palestinian insurgents,1
83,Palestinian insurgents,1
84,Palestinian insurgents,1
85,Palestinian insurgents,1
86,Palestinian insurgents,1
87,Palestinian insurgents,1
88,Palestinian insurgents,1
89,Palestinian insurgents,1
90,Palestinian insurgents,1
91,Palestinian insurgents,1
92,Non PLO groups,1
93,PLO,1
94,Non PLO groups,1
95,PLO,1
96,Non PLO groups,1
97,PLO,1
98,Non PLO groups,1
99,PLO,1
100,Non PLO groups,1
101,PLO,1
102,Non PLO groups,1
103,PLO,1
104,Non PLO groups,1
105,PLO,1
106,Non PLO groups,1
107,PLO,1
108,Non PLO groups,1
109,PLO,1
110,PLO,1
111,Rejectionist Front,1
112,PLO,1
113,Rejectionist Front,1
114,PLO,1
115,Rejectionist Front,1
116,PLO,1
117,Rejectionist Front,1
118,PLO,1
119,Rejectionist Front,1
120,PLO,1
121,Rejectionist Front,1
122,PLO,1
123,Rejectionist Front,1
124,PLO,1
125,Rejectionist Front,1
126,PLO,1
127,Rejectionist Front,1
128,PLO,1
129,Rejectionist Front,1
130,PLO,1
131,Rejectionist Front,1
132,PLO,1
133,Rejectionist Front,1
134,PLO,1
135,Rejectionist Front,1
136,PLO,1
137,Rejectionist Front,1
138,PLO,1
139,Rejectionist Front,1
140,PFLP,1
141,PFLP-GC,1
142,Fatah,1
143,Fatah,1
144,Fatah,1
145,Hamas,1
146,Hamas,1
147,PIJ,1
148,PNA,1
149,Fatah,1
150,PNA,1
151,Fatah,1
152,Hamas,1
153,PFLP,1
154,PIJ,1
155,PNA,1
156,AMB,1
157,Fatah,1
158,Hamas,1
159,PIJ,1
160,PNA,1
161,AMB,1
162,Hamas,1
163,PIJ,1
164,AMB,1
165,Hamas,1
166,PIJ,1
167,Fatah,1
168,Hamas,1
169,PIJ,1
170,Fatah,1
171,Hamas,1
172,PIJ,1
173,PRC,1
174,Fatah,1
175,Hamas,1
176,PIJ,1
177,Hamas,1
178,PIJ,1
179,Hamas,1
180,PIJ,1
181,PIJ,1
182,Hamas,1
183,PIJ,1
184,Hamas,1
185,PIJ,1
186,Hamas,1
187,PIJ,1
188,Hamas,1
189,PIJ,1
