,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
9566,2021,State,Government of Myanmar (Burma),KIO,2,"""Kachin News Group,2021-07-04,KIA And PDF Attack Tatmadaw At Multiple Locations in Sagaing Region"";""The Irrawaddy,2021-07-07,Over 40 Myanmar Junta Troops Reported Killed in Sagaing""",Kachin News Group;The Irrawaddy,2021-07-04;2021-07-07,Thitseingon village,23.79698,95.86266,Myanmar (Burma),Asia,2021-07-02,2021-07-02,4,0,0,0,4,4,4,2
9568,2021,One-Sided,NUG,Civilians,1,"""Myanmar Now,2021-07-05,Resistance fighters in Bago kill man accused of helping military crush protest stronghold""",Myanmar Now,2021-07-05,Bago district,17.732744,96.593308,Myanmar (Burma),Asia,2021-07-04,2021-07-04,0,0,1,0,1,1,1,3
9569,2021,State,Government of Myanmar (Burma),NUG,8,"""The Irrawaddy,2021-07-07,Tabayin Villagers Cannot Count Dead Amid Myanmar Junta Attacks"";""The Irrawaddy,2021-07-04,At Least 25 Civilians Killed in Shootout with Myanmar Junta "";""The Irrawaddy,2021-07-05,Myanmar Civilian Death Toll Rises From Sagaing Fighting"";""Myanmar Now,2021-07-06,Displaced Depayin residents afraid to return home despite military retreat"";""Reuters News,2021-07-07,Analysis: Myanmar turmoil deepens as clashes spread"";""Reuters News,2021-07-04,Myanmar forces kill 25 in raid on town, resident and media say"";""Reuters News,2021-07-04,UPDATE 1-Myanmar forces kill 25 in raid on town, residents and media say"";""The Irrawaddy,2021-09-13,Myanmar’s Shadow Government Prepares Evidence of Junta War Crimes""",The Irrawaddy;The Irrawaddy;The Irrawaddy;Myanmar Now;Reuters News;Reuters News;Reuters News;The Irrawaddy,2021-07-07;2021-07-04;2021-07-05;2021-07-06;2021-07-07;2021-07-04;2021-07-04;2021-09-13,Tabayin township,22.660147,95.227962,Myanmar (Burma),Asia,2021-07-02,2021-07-03,15,26,0,15,56,56,56,1
9574,2021,One-Sided,NUG,Civilians,1,"""Myanmar Now,2021-07-07,Eight village tract administrators resign in Kawlin""",Myanmar Now,2021-07-07,Kawlin township,23.766019,95.813102,Myanmar (Burma),Asia,2021-07-01,2021-07-01,0,0,1,0,1,1,1,2
9576,2021,State,Government of Myanmar (Burma),NUG,3,"""Myanmar Now,2021-07-07,Eight village tract administrators resign in Kawlin"";""Myanmar Now,2021-07-06,Kawlin PDF carries out lethal ambush of military convoy"";""The Irrawaddy,2021-07-07,Over 40 Myanmar Junta Troops Reported Killed in Sagaing""",Myanmar Now;Myanmar Now;The Irrawaddy,2021-07-07;2021-07-06;2021-07-07,Kokkogon village,23.68005,95.84802,Myanmar (Burma),Asia,2021-07-04,2021-07-04,20,4,0,0,24,24,24,2
9580,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-07-07,Tabayin Villagers Cannot Count Dead Amid Myanmar Junta Attacks""",The Irrawaddy,2021-07-07,Nyaunggyigon village,22.58914,95.7316,Myanmar (Burma),Asia,2021-07-04,2021-07-04,0,0,1,0,1,1,1,1
9588,2021,State,Government of Myanmar (Burma),NUG,1,"""The Irrawaddy,2021-07-07,Over 40 Myanmar Junta Troops Reported Killed in Sagaing""",The Irrawaddy,2021-07-07,Nyaunggon village,23.66488,95.84554,Myanmar (Burma),Asia,2021-07-04,2021-07-04,0,0,0,1,1,20,0,2
9589,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-07-07,Over 40 Myanmar Junta Troops Reported Killed in Sagaing""",The Irrawaddy,2021-07-07,Nyaunggon village,23.66488,95.84554,Myanmar (Burma),Asia,2021-07-05,2021-07-07,0,0,1,0,1,1,1,2
9652,2021,State,Government of Myanmar (Burma),KNPP,1,"""The Irrawaddy,2021-07-13,Myanmar Junta Troops Die in Kayah State Clashes""",The Irrawaddy,2021-07-13,Loikaw township,19.711192,97.295318,Myanmar (Burma),Asia,2021-07-12,2021-07-12,0,0,0,0,0,7,0,0
9657,2021,State,Government of Myanmar (Burma),NUG,1,"""The Irrawaddy,2021-07-08,Two Civilian Fighters Killed in Shootout With Myanmar Junta Troops in Dawei""",The Irrawaddy,2021-07-08,Yaung Maw village,14.01239,98.24101,Myanmar (Burma),Asia,2021-07-07,2021-07-08,0,2,0,0,2,2,2,3
9662,2021,State,Government of Myanmar (Burma),NUG,1,"""Myanmar Now,2021-07-14,‘Fox Force’ guerilla group assassinates junta-appointed ward administrator in Mandalay """,Myanmar Now,2021-07-14,Myitnge town,21.852485,96.069661,Myanmar (Burma),Asia,2021-07-14,2021-07-14,1,0,0,0,1,1,1,1
9733,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""BNI online,2021-07-15,Burma Army Buries Youths Killed in Sagaing Region""",BNI online,2021-07-15,Kyun Pin Thar village,24.43949,94.432386,Myanmar (Burma),Asia,2021-07-10,2021-07-10,0,0,2,0,2,2,2,1
9741,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""Myanmar Now,2021-07-17,Father of NLD MP shot dead by junta soldiers in Sinbaungwe, Magwe Region""",Myanmar Now,2021-07-17,Thahnga village,19.53739,95.33863,Myanmar (Burma),Asia,2021-07-16,2021-07-16,0,0,1,0,1,1,1,0
9750,2021,State,Government of Myanmar (Burma),NUG,1,"""Radio Free Asia,2021-07-16,Nearly Two Dozen Killed Amid New Clashes in Myanmar’s Beleaguered Sagaing Region""",Radio Free Asia,2021-07-16,Kalay township,23.173189,94.145293,Myanmar (Burma),Asia,2021-07-15,2021-07-15,0,0,2,1,3,21,2,1
9751,2021,State,Government of Myanmar (Burma),NUG,1,"""Radio Free Asia,2021-07-16,Nearly Two Dozen Killed Amid New Clashes in Myanmar’s Beleaguered Sagaing Region""",Radio Free Asia,2021-07-16,Kalay township,23.173189,94.145293,Myanmar (Burma),Asia,2021-07-16,2021-07-16,0,2,0,0,2,2,2,1
9820,2021,State,Government of Myanmar (Burma),NUG,1,"""BNI online,2021-07-20,Burma Army Launches Offensives in Karenni State""",BNI online,2021-07-20,Nan Hpe village,19.17006,97.23966,Myanmar (Burma),Asia,2021-07-16,2021-07-16,0,0,0,1,1,1,0,0
14294,2021,State,Government of Myanmar (Burma),KIO,4,"""Radio Free Asia,2021-05-03,Kachin Rebels Say They Shot Down a Myanmar Military Helicopter"";""Reuters News,2021-05-03,Myanmar rebel group says shoots down military helicopter"";""Reuters News,2021-05-03,Myanmar rebels say they downed helicopter, pro-junta official killed"";""Kachin News Group,2021-05-04,Civilians Killed By Burma Army Shelling in Momauk Township""",Radio Free Asia;Reuters News;Reuters News;Kachin News Group,2021-05-03;2021-05-03;2021-05-03;2021-05-04,Momauk township,24.521431,97.431576,Myanmar (Burma),Asia,2021-05-03,2021-05-03,0,0,4,0,4,4,4,2
14296,2021,State,Government of Myanmar (Burma),NUG,3,"""Radio Free Asia,2021-05-03,Kachin Rebels Say They Shot Down a Myanmar Military Helicopter"";""The Irrawaddy,2021-05-04,Anti-Regime Civilian Fighters Attack Myanmar Junta Forces in Magwe Region"";""Radio Free Asia,2021-05-04,Four Soldiers Killed, Several Injured in Clash Between Myanmar Military And Chin State Militia""",Radio Free Asia;The Irrawaddy;Radio Free Asia,2021-05-03;2021-05-04;2021-05-04,Htilin township,21.791044,94.184035,Myanmar (Burma),Asia,2021-05-03,2021-05-03,1,2,0,0,3,3,3,1
