,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
1516,2020,State,Government of Syria,IS,1,"""SOHR,2020-01-19,ISIS resurgence: 20 regime soldiers killed or wounded in new attack in Syrian Desert""",SOHR,2020-01-19,Western Deir ez Zor governorate,34.97,39.55,Syria,Middle East,2020-01-19,2020-01-19,1,0,0,0,1,1,1,1
1845,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-02-02,113 were killed yesterday, including 64 regime forces and the militants loyal to it, and 49 people were martyred, killed, and killed in different regions and circumstances in several Syrian regions.""",SOHR,2020-02-02,Aleppo governorate,36.25,37.616667,Syria,Middle East,2020-02-01,2020-02-01,24,19,0,0,43,43,43,3
1846,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-02-02,113 were killed yesterday, including 64 regime forces and the militants loyal to it, and 49 people were martyred, killed, and killed in different regions and circumstances in several Syrian regions.""",SOHR,2020-02-02,Idlib governorate,35.766667,36.666667,Syria,Middle East,2020-02-01,2020-02-01,28,21,0,0,49,49,49,3
1847,2020,State,Government of Syria,Syrian insurgents,2,"""SOHR,2020-02-02,14 civilian martyrs in Idlib and Aleppo .. And about 300 air strikes targeting the area of ​​""de-escalation"" amid the continued heavy fighting"";""Airwars,2020-02-02,R4146""",SOHR;Airwars,2020-02-02;2020-02-02,Urum al Kubra town,36.1481,36.94775,Syria,Middle East,2020-02-02,2020-02-02,0,0,3,0,3,3,3,3
1848,2020,State,Government of Syria,Syrian insurgents,2,"""Airwars,2020-02-02,R4152"";""SOHR,2020-02-02,14 civilian martyrs in Idlib and Aleppo .. And about 300 air strikes targeting the area of ​​""de-escalation"" amid the continued heavy fighting""",Airwars;SOHR,2020-02-02;2020-02-02,Al Mastumah town,35.8755,36.62967,Syria,Middle East,2020-02-02,2020-02-02,0,0,1,0,1,2,1,3
1849,2020,State,Government of Syria,Syrian insurgents,3,"""SOHR,2020-02-03,92 killed yesterday, including 26 regime forces and the militants loyal to it, and 66 people were martyred, killed, and killed in different regions and conditions in several Syrian regions."";""Airwars,2020-02-02,R4150"";""United Nations Human Rights Council,2020-07-07,20th report of the Commission of Inquiry on the Syrian Arab Republic - A/HRC/44/61""",SOHR;Airwars;United Nations Human Rights Council,2020-02-03;2020-02-02;2020-07-07,Sarmin town,35.90403,36.72501,Syria,Middle East,2020-02-02,2020-02-02,0,0,8,0,8,8,7,3
1850,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-02-03,92 killed yesterday, including 26 regime forces and the militants loyal to it, and 66 people were martyred, killed, and killed in different regions and conditions in several Syrian regions.""",SOHR,2020-02-03,Binnish village,35.956659,36.714159,Syria,Middle East,2020-02-02,2020-02-02,0,0,1,0,1,1,1,3
1851,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-02-03,92 killed yesterday, including 26 regime forces and the militants loyal to it, and 66 people were martyred, killed, and killed in different regions and conditions in several Syrian regions.""",SOHR,2020-02-03,Al Atarib town,36.13895,36.82499,Syria,Middle East,2020-02-02,2020-02-02,0,0,1,0,1,1,1,3
1852,2020,Non-State,IS,SDF,1,"""SOHR,2020-02-03,92 killed yesterday, including 26 regime forces and the militants loyal to it, and 66 people were martyred, killed, and killed in different regions and conditions in several Syrian regions.""",SOHR,2020-02-03,Ad Dahlab village,35.22461,40.3878,Syria,Middle East,2020-02-02,2020-02-02,0,0,0,0,0,1,0,1
1853,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-02-03,92 killed yesterday, including 26 regime forces and the militants loyal to it, and 66 people were martyred, killed, and killed in different regions and conditions in several Syrian regions.""",SOHR,2020-02-03,Aleppo governorate,36.25,37.616667,Syria,Middle East,2020-02-02,2020-02-02,13,24,0,0,37,37,37,3
