,id,latitude,longitude,count,Country
0,255379,33.305843,68.446963,12,Afghanistan
1,255133,34.825481,70.084213,9,Afghanistan
2,261369,33.472932,68.657758,12,Afghanistan
3,250893,32.489324,62.065236,1,Afghanistan
4,250894,36.112492,66.055374,1,Afghanistan
5,250895,32.62675,65.873313,12,Afghanistan
6,255136,34.718494,70.256599,4,Afghanistan
7,255375,34.2158,70.8323,1,Afghanistan
8,255371,34.151794,69.070099,4,Afghanistan
9,255155,33.305843,68.446963,6,Afghanistan
10,255374,32.085373,63.688011,2,Afghanistan
11,255135,33.0,65.0,6,Afghanistan
12,255140,34.750462,71.118319,3,Afghanistan
13,255137,34.33333,70.41667,2,Afghanistan
14,255376,32.62675,65.873313,4,Afghanistan
15,261429,32.6371,65.9044,3,Afghanistan
16,261646,33.33333,67.75,2,Afghanistan
17,261647,34.0,69.25,2,Afghanistan
18,261648,31.0,65.75,2,Afghanistan
19,261649,32.83333,66.0,2,Afghanistan
20,261650,34.25,68.0,2,Afghanistan
21,255379,33.305843,68.446963,12,Afghanistan
22,255133,34.825481,70.084213,9,Afghanistan
23,261369,33.472932,68.657758,12,Afghanistan
24,250893,32.489324,62.065236,1,Afghanistan
25,250894,36.112492,66.055374,1,Afghanistan
26,250895,32.62675,65.873313,12,Afghanistan
27,255136,34.718494,70.256599,4,Afghanistan
28,255375,34.2158,70.8323,1,Afghanistan
29,255371,34.151794,69.070099,4,Afghanistan
30,255155,33.305843,68.446963,6,Afghanistan
31,255374,32.085373,63.688011,2,Afghanistan
32,255135,33.0,65.0,6,Afghanistan
33,255140,34.750462,71.118319,3,Afghanistan
34,255137,34.33333,70.41667,2,Afghanistan
35,255376,32.62675,65.873313,4,Afghanistan
36,261429,32.6371,65.9044,3,Afghanistan
37,261646,33.33333,67.75,2,Afghanistan
38,261647,34.0,69.25,2,Afghanistan
39,261648,31.0,65.75,2,Afghanistan
40,261649,32.83333,66.0,2,Afghanistan
41,261650,34.25,68.0,2,Afghanistan
42,255379,33.305843,68.446963,12,Afghanistan
43,255133,34.825481,70.084213,9,Afghanistan
44,261369,33.472932,68.657758,12,Afghanistan
45,250893,32.489324,62.065236,1,Afghanistan
46,250894,36.112492,66.055374,1,Afghanistan
47,250895,32.62675,65.873313,12,Afghanistan
48,255136,34.718494,70.256599,4,Afghanistan
49,255375,34.2158,70.8323,1,Afghanistan
50,255371,34.151794,69.070099,4,Afghanistan
51,255155,33.305843,68.446963,6,Afghanistan
52,255374,32.085373,63.688011,2,Afghanistan
53,255135,33.0,65.0,6,Afghanistan
54,255140,34.750462,71.118319,3,Afghanistan
55,255137,34.33333,70.41667,2,Afghanistan
56,255376,32.62675,65.873313,4,Afghanistan
57,261429,32.6371,65.9044,3,Afghanistan
58,261646,33.33333,67.75,2,Afghanistan
59,261647,34.0,69.25,2,Afghanistan
60,261648,31.0,65.75,2,Afghanistan
61,261649,32.83333,66.0,2,Afghanistan
62,261650,34.25,68.0,2,Afghanistan
63,255379,33.305843,68.446963,12,Afghanistan
64,255133,34.825481,70.084213,9,Afghanistan
65,261369,33.472932,68.657758,12,Afghanistan
66,250893,32.489324,62.065236,1,Afghanistan
67,250894,36.112492,66.055374,1,Afghanistan
68,250895,32.62675,65.873313,12,Afghanistan
69,255136,34.718494,70.256599,4,Afghanistan
70,255375,34.2158,70.8323,1,Afghanistan
71,255371,34.151794,69.070099,4,Afghanistan
72,255155,33.305843,68.446963,6,Afghanistan
73,255374,32.085373,63.688011,2,Afghanistan
74,255135,33.0,65.0,6,Afghanistan
75,255140,34.750462,71.118319,3,Afghanistan
76,255137,34.33333,70.41667,2,Afghanistan
77,255376,32.62675,65.873313,4,Afghanistan
78,261429,32.6371,65.9044,3,Afghanistan
79,261646,33.33333,67.75,2,Afghanistan
80,261647,34.0,69.25,2,Afghanistan
81,261648,31.0,65.75,2,Afghanistan
82,261649,32.83333,66.0,2,Afghanistan
83,261650,34.25,68.0,2,Afghanistan
84,255379,33.305843,68.446963,12,Afghanistan
85,255133,34.825481,70.084213,9,Afghanistan
86,261369,33.472932,68.657758,12,Afghanistan
87,250893,32.489324,62.065236,1,Afghanistan
88,250894,36.112492,66.055374,1,Afghanistan
89,250895,32.62675,65.873313,12,Afghanistan
90,255136,34.718494,70.256599,4,Afghanistan
91,255375,34.2158,70.8323,1,Afghanistan
92,255371,34.151794,69.070099,4,Afghanistan
93,255155,33.305843,68.446963,6,Afghanistan
94,255374,32.085373,63.688011,2,Afghanistan
95,255135,33.0,65.0,6,Afghanistan
96,255140,34.750462,71.118319,3,Afghanistan
97,255137,34.33333,70.41667,2,Afghanistan
98,255376,32.62675,65.873313,4,Afghanistan
99,261429,32.6371,65.9044,3,Afghanistan
100,261646,33.33333,67.75,2,Afghanistan
101,261647,34.0,69.25,2,Afghanistan
102,261648,31.0,65.75,2,Afghanistan
103,261649,32.83333,66.0,2,Afghanistan
104,261650,34.25,68.0,2,Afghanistan
105,255379,33.305843,68.446963,12,Afghanistan
106,255133,34.825481,70.084213,9,Afghanistan
107,261369,33.472932,68.657758,12,Afghanistan
108,250893,32.489324,62.065236,1,Afghanistan
109,250894,36.112492,66.055374,1,Afghanistan
110,250895,32.62675,65.873313,12,Afghanistan
111,255136,34.718494,70.256599,4,Afghanistan
112,255375,34.2158,70.8323,1,Afghanistan
113,255371,34.151794,69.070099,4,Afghanistan
114,255155,33.305843,68.446963,6,Afghanistan
115,255374,32.085373,63.688011,2,Afghanistan
116,255135,33.0,65.0,6,Afghanistan
117,255140,34.750462,71.118319,3,Afghanistan
118,255137,34.33333,70.41667,2,Afghanistan
119,255376,32.62675,65.873313,4,Afghanistan
120,261429,32.6371,65.9044,3,Afghanistan
121,261646,33.33333,67.75,2,Afghanistan
122,261647,34.0,69.25,2,Afghanistan
123,261648,31.0,65.75,2,Afghanistan
124,261649,32.83333,66.0,2,Afghanistan
125,261650,34.25,68.0,2,Afghanistan
126,255379,33.305843,68.446963,12,Afghanistan
127,255133,34.825481,70.084213,9,Afghanistan
128,261369,33.472932,68.657758,12,Afghanistan
129,250893,32.489324,62.065236,1,Afghanistan
