,,,deaths_a,deaths_a,deaths_a,deaths_a,deaths_b,deaths_b,deaths_b,deaths_b,deaths_unknown,deaths_unknown,deaths_unknown,deaths_unknown,best,best,best,best
,,,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean
region,country,year,,,,,,,,,,,,,,,,
Africa,Algeria,2018,15,0,7,1.5,17,0,8,1.7,1,0,1,0.1,35,0,11,3.5
Africa,Algeria,2019,0,0,0,0.0,14,0,3,1.5555555555555556,0,0,0,0.0,15,1,3,1.6666666666666667
Africa,Algeria,2020,5,0,2,0.29411764705882354,23,0,3,1.3529411764705883,0,0,0,0.0,28,1,3,1.6470588235294117
Africa,Algeria,2021,5,0,2,0.8333333333333334,8,0,4,1.3333333333333333,0,0,0,0.0,18,1,6,3.0
Africa,Algeria,2022,5,0,3,1.6666666666666667,9,0,7,3.0,0,0,0,0.0,14,3,7,4.666666666666667
Africa,Angola,2018,0,0,0,0.0,1,0,1,0.16666666666666666,0,0,0,0.0,24,0,14,4.0
Africa,Angola,2019,1,0,1,0.09090909090909091,9,0,2,0.8181818181818182,15,0,15,1.3636363636363635,26,0,15,2.3636363636363638
Africa,Angola,2020,0,0,0,0.0,7,0,2,0.2692307692307692,14,0,14,0.5384615384615384,29,0,14,1.1153846153846154
Africa,Angola,2021,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,13,1,10,3.25
Africa,Angola,2022,0,0,0,0.0,1,0,1,0.0625,19,0,19,1.1875,20,0,19,1.25
Africa,Benin,2019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Africa,Benin,2020,1,1,1,1.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Africa,Benin,2021,4,0,2,0.6666666666666666,6,0,3,1.0,0,0,0,0.0,11,1,3,1.8333333333333333
Africa,Benin,2022,17,0,6,2.125,11,0,8,1.375,1,0,1,0.125,30,1,8,3.75
Africa,Burkina Faso,2018,66,0,10,1.0153846153846153,35,0,8,0.5384615384615384,0,0,0,0.0,195,0,16,3.0
Africa,Burkina Faso,2019,142,0,24,0.6396396396396397,201,0,30,0.9054054054054054,7,0,6,0.03153153153153153,1246,0,39,5.612612612612613
Africa,Burkina Faso,2020,179,0,14,1.0783132530120483,328,0,47,1.9759036144578312,95,0,22,0.572289156626506,1167,0,49,7.030120481927711
Africa,Burkina Faso,2021,364,0,53,1.905759162303665,538,0,58,2.816753926701571,57,0,20,0.29842931937172773,1458,0,160,7.633507853403142
Africa,Burkina Faso,2022,457,0,27,1.9201680672268908,1258,0,115,5.285714285714286,90,0,28,0.37815126050420167,2597,0,129,10.911764705882353
Africa,Burundi,2018,2,0,2,0.03389830508474576,2,0,1,0.03389830508474576,0,0,0,0.0,113,0,26,1.9152542372881356
Africa,Burundi,2019,2,0,2,0.04,14,0,14,0.28,0,0,0,0.0,75,0,16,1.5
Africa,Burundi,2020,29,0,19,0.3717948717948718,31,0,19,0.3974358974358974,0,0,0,0.0,145,0,24,1.858974358974359
Africa,Burundi,2021,13,0,12,0.26,0,0,0,0.0,0,0,0,0.0,81,0,12,1.62
Africa,Burundi,2022,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,38,0,1,0.926829268292683
Africa,Cameroon,2018,173,0,38,0.6892430278884463,381,0,29,1.5179282868525896,188,0,129,0.749003984063745,1007,0,129,4.01195219123506
Africa,Cameroon,2019,131,0,16,0.5282258064516129,317,0,64,1.278225806451613,179,0,14,0.7217741935483871,868,0,88,3.5
Africa,Cameroon,2020,65,0,5,0.24904214559386972,244,0,21,0.9348659003831418,51,0,6,0.19540229885057472,792,0,21,3.0344827586206895
